ID: 1 | 名前: 基本【草】エネルギー | カテゴリ: nan
ID: 2 | 名前: 基本【炎】エネルギー | カテゴリ: nan
ID: 3 | 名前: 基本【水】エネルギー | カテゴリ: nan
ID: 4 | 名前: 基本【雷】エネルギー | カテゴリ: nan
ID: 5 | 名前: 基本【超】エネルギー | カテゴリ: nan
ID: 6 | 名前: 基本【闘】エネルギー | カテゴリ: nan
ID: 7 | 名前: 基本【悪】エネルギー | カテゴリ: nan
ID: 8 | 名前: 基本【鋼】エネルギー | カテゴリ: nan
ID: 9 | 名前: ブーメランエネルギー | カテゴリ: nan
ID: 10 | 名前: ネオアッパーエネルギー | カテゴリ: nan
ID: 11 | 名前: ミストエネルギー | カテゴリ: nan
ID: 12 | 名前: レガシーエネルギー | カテゴリ: nan
ID: 13 | 名前: リッチエネルギー | カテゴリ: nan
ID: 14 | 名前: スパイクエネルギー | カテゴリ: nan
ID: 15 | 名前: ロケット団エネルギー | カテゴリ: nan
ID: 16 | 名前: プリズムエネルギー | カテゴリ: nan
ID: 17 | 名前: イグニッションエネルギー | カテゴリ: nan
ID: 18 | 名前: グロウ【草】エネルギー | カテゴリ: nan
ID: 19 | 名前: テレパス【超】エネルギー | カテゴリ: nan
ID: 20 | 名前: ロック【闘】エネルギー | カテゴリ: nan
ID: 21 | 名前: ズルズキン | カテゴリ: nan
ID: 22 | 名前: ヒポポタス | カテゴリ: nan
ID: 23 | 名前: カバルドン | カテゴリ: nan
ID: 24 | 名前: ロケット団のガルーラex | カテゴリ: トレーナーのポケモン（ロケット団・サカキ）
ID: 25 | 名前: カイロス | カテゴリ: nan
ID: 26 | 名前: リーフィア | カテゴリ: nan
ID: 27 | 名前: テツノイサハ | カテゴリ: 未来
ID: 28 | 名前: チャデス | カテゴリ: nan
ID: 29 | 名前: ヤバソチャex | カテゴリ: nan
ID: 30 | 名前: マグカルゴex | カテゴリ: テラスタル(ほのお)
ID: 31 | 名前: イーユイ | カテゴリ: nan
ID: 32 | 名前: グレイシア | カテゴリ: nan
ID: 33 | 名前: ケロマツ | カテゴリ: nan
ID: 34 | 名前: ゲコガシラ | カテゴリ: nan
ID: 35 | 名前: ウネルミナモ | カテゴリ: 古代
ID: 36 | 名前: モルペコ | カテゴリ: nan
ID: 37 | 名前: テツノイバラex | カテゴリ: 未来
ID: 38 | 名前: キリンリキ | カテゴリ: nan
